Address,Price,Size,Room Count
"Monbijoustraße 1, Mitte (Ortsteil), Berlin","5.177,72 €","158,34 m²","<span class=""onlyLarge"">3</span>"
"Aaron-Bernstein-Platz 4, Mitte (Ortsteil), Berlin",3.200 €,113 m²,"<span class=""onlyLarge"">3</span>"
"Fontanepromenade 1, Kreuzberg, Berlin","890,60 €","28,62 m²","<span class=""onlyLarge"">1</span>"
"Köpenick, Berlin",1.320 €,61 m²,"<span class=""onlyLarge"">2</span>"
"Buckow, Berlin",2.550 €,215 m²,"<span class=""onlyLarge"">7</span>"
"Wernsdorfer Str 3, Schmöckwitz, Berlin","1.121,14 €","104,78 m²","<span class=""onlyLarge"">3</span>"
"Wernsdorfer Str. 3, Schmöckwitz, Berlin","1.159,88 €","108,4 m²","<span class=""onlyLarge"">3</span>"
"Charlottenburg, Berlin",2.750 €,92 m²,"<span class=""onlyLarge"">3</span>"
"Perleberger Straße 29, Moabit, Berlin",1.300 €,"62,68 m²","<span class=""onlyLarge"">2</span>"
"Friedrichshain, Berlin",3.000 €,230 m²,"<span class=""onlyLarge"">5</span>"
"Ackerstraße 63, Gesundbrunnen, Berlin",2.000 €,39 m²,"<span class=""onlyLarge"">2</span>"
"Pufendorfstrasse 5, Friedrichshain, Berlin",1.990 €,77 m²,"<span class=""onlyLarge"">3</span>"
"Heiligenberger Strasse 24, Karlshorst, Berlin",2.690 €,107 m²,"<span class=""onlyLarge"">4</span>"
"Kurfürstenstraße 45, Schöneberg, Berlin",3.290 €,102 m²,"<span class=""onlyLarge"">4</span>"
"Rodenbergstraße 1, Prenzlauer Berg, Berlin",1.600 €,68 m²,"<span class=""onlyLarge"">2</span>"
"Ilmenauer Str. 9, Schmargendorf, Berlin","932,52 €","77,71 m²","<span class=""onlyLarge"">2</span>"
"Friedrichstraße 215, Kreuzberg, Berlin",1.980 €,65 m²,"<span class=""onlyLarge"">2</span>"
"Chausseestraße 19, Mitte (Ortsteil), Berlin",1.600 €,51 m²,"<span class=""onlyLarge"">1</span>"
"Johanniterstraße 30, Kreuzberg, Berlin",1.310 €,52 m²,"<span class=""onlyLarge"">2</span>"
"Krossener Str. 11A, Friedrichshain, Berlin",1.900 €,93 m²,"<span class=""onlyLarge"">4</span>"
"Glatzer Str. 2, Friedrichshain, Berlin",2.290 €,89 m²,"<span class=""onlyLarge"">3</span>"
"Gabriel-Max-Straße 16, Friedrichshain, Berlin",1.690 €,52 m²,"<span class=""onlyLarge"">2</span>"
"Seydelstraße 10, Mitte (Ortsteil), Berlin",2.416 €,"89,49 m²","<span class=""onlyLarge"">3</span>"
"Gabriele-Tergit-Promenade 21, Tiergarten, Berlin",1.900 €,44 m²,"<span class=""onlyLarge"">2</span>"
"Rüdesheimer Straße 2, Wilmersdorf, Berlin",3.599 €,"190,13 m²","<span class=""onlyLarge"">5</span>"
"Konstanzer Straße 12, Wilmersdorf, Berlin",1.500 €,62 m²,"<span class=""onlyLarge"">2</span>"
"Johannisstraße 18, Mitte (Ortsteil), Berlin",2.650 €,"63,5 m²","<span class=""onlyLarge"">2</span>"
"Am Köllnischen Park 16, Mitte (Ortsteil), Berlin",1.545 €,36 m²,"<span class=""onlyLarge"">1</span>"
"Stallschreiberstraße 25, Mitte (Ortsteil), Berlin",2.100 €,"72,7 m²","<span class=""onlyLarge"">3</span>"
"Schönhauser Allee 111, Prenzlauer Berg, Berlin",1.625 €,"81,25 m²","<span class=""onlyLarge"">3</span>"
"Stallschreiberstraße 27, Mitte (Ortsteil), Berlin",2.835 €,97 m²,"<span class=""onlyLarge"">3</span>"
"Wilmersdorf, Berlin",4.760 €,280 m²,"<span class=""onlyLarge"">8</span>"
"Niebuhrstr. 78, Charlottenburg, Berlin",3.500 €,207 m²,"<span class=""onlyLarge"">5,5</span>"
"Mitte (Ortsteil), Berlin",2.720 €,69 m²,"<span class=""onlyLarge"">2</span>"
"Spreestr. 4, Niederschöneweide, Berlin",1.700 €,134 m²,"<span class=""onlyLarge"">4</span>"
"Friedenstraße  60, Friedrichshain, Berlin","1.840,20 €","122,68 m²","<span class=""onlyLarge"">4</span>"
"Am Maselakepark 11, Hakenfelde, Berlin",Price not found,Size not found,
"Griegstraße 13, Grunewald, Berlin","3.712,50 €",275 m²,"<span class=""onlyLarge"">8</span>"
"Helgoländer  Ufer, Moabit, Berlin",2.990 €,140 m²,"<span class=""onlyLarge"">4</span>"
"Aaron-Bernstein-Platz 4, Mitte (Ortsteil), Berlin",3.500 €,"98,75 m²","<span class=""onlyLarge"">3</span>"
"Kaiser-Friedrich-Str. 25, Charlottenburg, Berlin",2.125 €,"114,73 m²","<span class=""onlyLarge"">4</span>"
